web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,player-stats
"1613237038-45","https://www.atptour.com/en/rankings/singles","Roberto Carballes Baena","https://www.atptour.com/en/players/roberto-carballes-baena/cf59/overview","Player Stats","https://www.atptour.com/en/players/roberto-carballes-baena/cf59/player-stats","62%"
"1613237092-513","https://www.atptour.com/en/rankings/singles","Pedro Martinez","https://www.atptour.com/en/players/pedro-martinez/mo44/overview","Player Stats","https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats","70%"
"1613237153-1013","https://www.atptour.com/en/rankings/singles","Thiago Monteiro","https://www.atptour.com/en/players/thiago-monteiro/mj08/overview","Player Stats","https://www.atptour.com/en/players/thiago-monteiro/mj08/player-stats","2nd Serve Return Points Won"
"1613237316-2357","https://www.atptour.com/en/rankings/singles","Reilly Opelka","https://www.atptour.com/en/players/reilly-opelka/o522/overview","Player Stats","https://www.atptour.com/en/players/reilly-opelka/o522/player-stats","Singles Service Record"
"1613237422-3262","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","5,352"
"1613237042-90","https://www.atptour.com/en/rankings/singles","Dennis Novak","https://www.atptour.com/en/players/dennis-novak/db59/overview","Player Stats","https://www.atptour.com/en/players/dennis-novak/db59/player-stats","Break Points Saved"
"1613237373-2822","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","2nd Serve Points Won"
"1613237064-279","https://www.atptour.com/en/rankings/singles","Joao Sousa","https://www.atptour.com/en/players/joao-sousa/sh90/overview","Player Stats","https://www.atptour.com/en/players/joao-sousa/sh90/player-stats","2,805"
"1613237243-1774","https://www.atptour.com/en/rankings/singles","Alejandro Davidovich Fokina","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview","Player Stats","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/player-stats","51%"
"1613237234-1683","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","50%"
"1613237484-3796","https://www.atptour.com/en/rankings/singles","Novak Djokovic","https://www.atptour.com/en/players/novak-djokovic/d643/overview","Player Stats","https://www.atptour.com/en/players/novak-djokovic/d643/player-stats","32%"
"1613237234-1689","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","1,305"
"1613237267-1965","https://www.atptour.com/en/rankings/singles","Jordan Thompson","https://www.atptour.com/en/players/jordan-thompson/tc61/overview","Player Stats","https://www.atptour.com/en/players/jordan-thompson/tc61/player-stats","Break Points Opportunities"
"1613237234-1679","https://www.atptour.com/en/rankings/singles","Laslo Djere","https://www.atptour.com/en/players/laslo-djere/db63/overview","Player Stats","https://www.atptour.com/en/players/laslo-djere/db63/player-stats","60%"
"1613237153-1009","https://www.atptour.com/en/rankings/singles","Thiago Monteiro","https://www.atptour.com/en/players/thiago-monteiro/mj08/overview","Player Stats","https://www.atptour.com/en/players/thiago-monteiro/mj08/player-stats","64%"
"1613237364-2762","https://www.atptour.com/en/rankings/singles","Casper Ruud","https://www.atptour.com/en/players/casper-ruud/rh16/overview","Player Stats","https://www.atptour.com/en/players/casper-ruud/rh16/player-stats","49%"
"1613237303-2245","https://www.atptour.com/en/rankings/singles","Miomir Kecmanovic","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview","Player Stats","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/player-stats","336"
"1613237422-3258","https://www.atptour.com/en/rankings/singles","David Goffin","https://www.atptour.com/en/players/david-goffin/gb88/overview","Player Stats","https://www.atptour.com/en/players/david-goffin/gb88/player-stats","3,569"
"1613237373-2838","https://www.atptour.com/en/rankings/singles","Daniel Evans","https://www.atptour.com/en/players/daniel-evans/e687/overview","Player Stats","https://www.atptour.com/en/players/daniel-evans/e687/player-stats","50%"
"1613237262-1924","https://www.atptour.com/en/rankings/singles","Kyle Edmund","https://www.atptour.com/en/players/kyle-edmund/e831/overview","Player Stats","https://www.atptour.com/en/players/kyle-edmund/e831/player-stats","27%"
"1613237339-2571","https://www.atptour.com/en/rankings/singles","Filip Krajinovic","https://www.atptour.com/en/players/filip-krajinovic/kb05/overview","Player Stats","https://www.atptour.com/en/players/filip-krajinovic/kb05/player-stats","2nd Serve Return Points Won"
"1613237409-3151","https://www.atptour.com/en/rankings/singles","Stan Wawrinka","https://www.atptour.com/en/players/stan-wawrinka/w367/overview","Player Stats","https://www.atptour.com/en/players/stan-wawrinka/w367/player-stats","Return Points Won"
"1613237092-510","https://www.atptour.com/en/rankings/singles","Pedro Martinez","https://www.atptour.com/en/players/pedro-martinez/mo44/overview","Player Stats","https://www.atptour.com/en/players/pedro-martinez/mo44/player-stats","Service Games Played"
"1613237144-917","https://www.atptour.com/en/rankings/singles","Lucas Pouille","https://www.atptour.com/en/players/lucas-pouille/pf39/overview","Player Stats","https://www.atptour.com/en/players/lucas-pouille/pf39/player-stats","844"
"1613237243-1765","https://www.atptour.com/en/rankings/singles","Alejandro Davidovich Fokina","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview","Player Stats","https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/player-stats","468"
"1613237444-3451","https://www.atptour.com/en/rankings/singles","Matteo Berrettini","https://www.atptour.com/en/players/matteo-berrettini/bk40/overview","Player Stats","https://www.atptour.com/en/players/matteo-berrettini/bk40/player-stats","Return Games Played"
"1613237303-2280","https://www.atptour.com/en/rankings/singles","Miomir Kecmanovic","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview","Player Stats","https://www.atptour.com/en/players/miomir-kecmanovic/ki95/player-stats","50%"
"1613237203-1418","https://www.atptour.com/en/rankings/singles","Vasek Pospisil","https://www.atptour.com/en/players/vasek-pospisil/pd07/overview","Player Stats","https://www.atptour.com/en/players/vasek-pospisil/pd07/player-stats","Break Points Faced"
"1613237111-676","https://www.atptour.com/en/rankings/singles","Juan Ignacio Londero","https://www.atptour.com/en/players/juan-ignacio-londero/lb84/overview","Player Stats","https://www.atptour.com/en/players/juan-ignacio-londero/lb84/player-stats","39%"
