web-scraper-order,web-scraper-start-url,player-link,player-link-href,player-stats-link,player-stats-link-href,service-record,return-record,last-name,rank,age,turned-pro,weight,height
"1613278733-35","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Alex Bolt","https://www.atptour.com/en/players/alex-bolt/bi81/overview","Player Stats","https://www.atptour.com/en/players/alex-bolt/bi81/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""225""},{""service-record"":""Double Faults""},{""service-record"":""85""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""236""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""398""},{""service-record"":""Service Games Won""},{""service-record"":""76%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""189""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""395""},{""return-record"":""Return Games Won""},{""return-record"":""17%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","Bolt","Singles
                                Ranking


                            
                        
                        
166                        
                    
                        
                            
                                
                            
                            AUS","28                                        
                                            
                                                (1993.01.05)","2011","185","6'0"""
"1613278878-67","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Daniel Altmaier","https://www.atptour.com/en/players/daniel-altmaier/ae14/overview","Player Stats","https://www.atptour.com/en/players/daniel-altmaier/ae14/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""76""},{""service-record"":""Double Faults""},{""service-record"":""35""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""98""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""148""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""44%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""72""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""153""},{""return-record"":""Return Games Won""},{""return-record"":""17%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","Altmaier","Singles
                                Ranking


                            
                        
                        
134                        
                    
                        
                            
                                
                            
                            GER","22                                        
                                            
                                                (1998.09.12)","2014","194","6'3"""
"1613278710-30","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Guido Andreozzi","https://www.atptour.com/en/players/guido-andreozzi/a887/overview","Player Stats","https://www.atptour.com/en/players/guido-andreozzi/a887/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""146""},{""service-record"":""Double Faults""},{""service-record"":""170""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""46%""},{""service-record"":""Break Points Faced""},{""service-record"":""320""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""441""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""211""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""450""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""47%""}]","Andreozzi","Singles
                                Ranking


                            
                        
                        
171                        
                    
                        
                            
                                
                            
                            ARG","29                                        
                                            
                                                (1991.08.05)","2010","172","6'0"""
"1613279012-96","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","James Duckworth","https://www.atptour.com/en/players/james-duckworth/d994/overview","Player Stats","https://www.atptour.com/en/players/james-duckworth/d994/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""782""},{""service-record"":""Double Faults""},{""service-record"":""307""},{""service-record"":""1st Serve""},{""service-record"":""56%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""73%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""682""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""1,177""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""24%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""45%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""455""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""1,172""},{""return-record"":""Return Games Won""},{""return-record"":""14%""},{""return-record"":""Return Points Won""},{""return-record"":""32%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","Duckworth","Singles
                                Ranking


                            
                        
                        
105                        
                    
                        
                            
                                
                            
                            AUS","29                                        
                                            
                                                (1992.01.21)","2010","181","6'0"""
"1613278940-80","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Christopher O'Connell","https://www.atptour.com/en/players/christopher-o'connell/o483/overview","Player Stats","https://www.atptour.com/en/players/christopher-oconnell/o483/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""50""},{""service-record"":""Double Faults""},{""service-record"":""14""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""85""},{""service-record"":""Break Points Saved""},{""service-record"":""72%""},{""service-record"":""Service Games Played""},{""service-record"":""114""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""21%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""47""},{""return-record"":""Break Points Converted""},{""return-record"":""34%""},{""return-record"":""Return Games Played""},{""return-record"":""114""},{""return-record"":""Return Games Won""},{""return-record"":""14%""},{""return-record"":""Return Points Won""},{""return-record"":""32%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","O'Connell","Singles
                                Ranking


                            
                        
                        
121                        
                    
                        
                            
                                
                            
                            AUS","26                                        
                                            
                                                (1994.06.03)","2011","172","6'0"""
"1613278914-75","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Marc Polmans","https://www.atptour.com/en/players/marc-polmans/pg94/overview","Player Stats","https://www.atptour.com/en/players/marc-polmans/pg94/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""53""},{""service-record"":""Double Faults""},{""service-record"":""51""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""64%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""141""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""194""},{""service-record"":""Service Games Won""},{""service-record"":""71%""},{""service-record"":""Total Service Points Won""},{""service-record"":""59%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""116""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""192""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","Polmans","Singles
                                Ranking


                            
                        
                        
126                        
                    
                        
                            
                                
                            
                            AUS","23                                        
                                            
                                                (1997.05.02)","2015","172","6'2"""
"1613278896-71","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","J.J. Wolf","https://www.atptour.com/en/players/j.j.-wolf/w09g/overview","Player Stats","https://www.atptour.com/en/players/jj-wolf/w09g/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""36""},{""service-record"":""Double Faults""},{""service-record"":""27""},{""service-record"":""1st Serve""},{""service-record"":""55%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""71%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""44%""},{""service-record"":""Break Points Faced""},{""service-record"":""34""},{""service-record"":""Break Points Saved""},{""service-record"":""47%""},{""service-record"":""Service Games Played""},{""service-record"":""61""},{""service-record"":""Service Games Won""},{""service-record"":""70%""},{""service-record"":""Total Service Points Won""},{""service-record"":""59%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""32%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""44%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""32""},{""return-record"":""Break Points Converted""},{""return-record"":""50%""},{""return-record"":""Return Games Played""},{""return-record"":""63""},{""return-record"":""Return Games Won""},{""return-record"":""25%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""47%""}]","Wolf","Singles
                                Ranking


                            
                        
                        
130                        
                    
                        
                            
                                
                            
                            USA","22                                        
                                            
                                                (1998.12.21)","2019","180","6'0"""
"1613278883-68","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Brandon Nakashima","https://www.atptour.com/en/players/brandon-nakashima/n0ae/overview","Player Stats","https://www.atptour.com/en/players/brandon-nakashima/n0ae/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""34""},{""service-record"":""Double Faults""},{""service-record"":""12""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""59%""},{""service-record"":""Break Points Faced""},{""service-record"":""27""},{""service-record"":""Break Points Saved""},{""service-record"":""67%""},{""service-record"":""Service Games Played""},{""service-record"":""70""},{""service-record"":""Service Games Won""},{""service-record"":""87%""},{""service-record"":""Total Service Points Won""},{""service-record"":""67%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""52%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""27""},{""return-record"":""Break Points Converted""},{""return-record"":""48%""},{""return-record"":""Return Games Played""},{""return-record"":""69""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]","Nakashima","Singles
                                Ranking


                            
                        
                        
133                        
                    
                        
                            
                                
                            
                            USA","19                                        
                                            
                                                (2001.08.03)","2019","170","6'1"""
"1613278688-25","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Joao Domingues","https://www.atptour.com/en/players/joao-domingues/d985/overview","Player Stats","https://www.atptour.com/en/players/joao-domingues/d985/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""16""},{""service-record"":""Double Faults""},{""service-record"":""7""},{""service-record"":""1st Serve""},{""service-record"":""70%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""62%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""47%""},{""service-record"":""Break Points Faced""},{""service-record"":""92""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""127""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""58%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""75""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""130""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""47%""}]","Domingues","Singles
                                Ranking


                            
                        
                        
176                        
                    
                        
                            
                                
                            
                            POR","27                                        
                                            
                                                (1993.10.05)","2013","154","null"
"1613278924-77","https://www.atptour.com/en/rankings/singles/?rankDate=2021-2-8&countryCode=all&rankRange=100-200","Jozef Kovalik","https://www.atptour.com/en/players/jozef-kovalik/kc04/overview","Player Stats","https://www.atptour.com/en/players/jozef-kovalik/kc04/player-stats","[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""169""},{""service-record"":""Double Faults""},{""service-record"":""132""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""351""},{""service-record"":""Break Points Saved""},{""service-record"":""58%""},{""service-record"":""Service Games Played""},{""service-record"":""569""},{""service-record"":""Service Games Won""},{""service-record"":""74%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""270""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""567""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]","Kovalik","Singles
                                Ranking


                            
                        
                        
124                        
                    
                        
                            
                                
                            
                            SVK","28                                        
                                            
                                                (1992.11.04)","2010","181","6'0"""
