service-record,return-record,lastname,ranking,age,turnedpro,weight,height
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""12,400""},{""service-record"":""Double Faults""},{""service-record"":""1,542""},{""service-record"":""1st Serve""},{""service-record"":""69%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""79%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""56%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,717""},{""service-record"":""Break Points Saved""},{""service-record"":""71%""},{""service-record"":""Service Games Played""},{""service-record"":""9,646""},{""service-record"":""Service Games Won""},{""service-record"":""92%""},{""service-record"":""Total Service Points Won""},{""service-record"":""72%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""23%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""42%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,259""},{""return-record"":""Break Points Converted""},{""return-record"":""30%""},{""return-record"":""Return Games Played""},{""return-record"":""9,539""},{""return-record"":""Return Games Won""},{""return-record"":""10%""},{""return-record"":""Return Points Won""},{""return-record"":""30%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Isner,"Singles
                                Ranking


                            
                        
                        
24                        
                    
                        
                            
                                
                            
                            USA","35                                        
                                            
                                                (1985.04.26)",2007,238,"6'10"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""2,123""},{""service-record"":""Double Faults""},{""service-record"":""2,549""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""68%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""48%""},{""service-record"":""Break Points Faced""},{""service-record"":""5,150""},{""service-record"":""Break Points Saved""},{""service-record"":""57%""},{""service-record"":""Service Games Played""},{""service-record"":""7,880""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""32%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""5,005""},{""return-record"":""Break Points Converted""},{""return-record"":""43%""},{""return-record"":""Return Games Played""},{""return-record"":""7,934""},{""return-record"":""Return Games Won""},{""return-record"":""27%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Fognini,"Singles
                                Ranking


                            
                        
                        
17                        
                    
                        
                            
                                
                            
                            ITA","33                                        
                                            
                                                (1987.05.24)",2004,174,"5'10"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""274""},{""service-record"":""Double Faults""},{""service-record"":""128""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""407""},{""service-record"":""Break Points Saved""},{""service-record"":""58%""},{""service-record"":""Service Games Played""},{""service-record"":""732""},{""service-record"":""Service Games Won""},{""service-record"":""77%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""399""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""730""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Paul,"Singles
                                Ranking


                            
                        
                        
53                        
                    
                        
                            
                                
                            
                            USA","23                                        
                                            
                                                (1997.05.17)",2015,180,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""5,867""},{""service-record"":""Double Faults""},{""service-record"":""2,110""},{""service-record"":""1st Serve""},{""service-record"":""58%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""54%""},{""service-record"":""Break Points Faced""},{""service-record"":""5,129""},{""service-record"":""Break Points Saved""},{""service-record"":""64%""},{""service-record"":""Service Games Played""},{""service-record"":""10,691""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""6,093""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""10,513""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Wawrinka,"Singles
                                Ranking


                            
                        
                        
18                        
                    
                        
                            
                                
                            
                            SUI","35                                        
                                            
                                                (1985.03.28)",2002,179,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""589""},{""service-record"":""Double Faults""},{""service-record"":""478""},{""service-record"":""1st Serve""},{""service-record"":""56%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,090""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""1,739""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""32%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,168""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""1,752""},{""return-record"":""Return Games Won""},{""return-record"":""26%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Fucsovics,"Singles
                                Ranking


                            
                        
                        
55                        
                    
                        
                            
                                
                            
                            HUN","29                                        
                                            
                                                (1992.02.08)",2010,181,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""109""},{""service-record"":""Double Faults""},{""service-record"":""76""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""73%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""110""},{""service-record"":""Break Points Saved""},{""service-record"":""53%""},{""service-record"":""Service Games Played""},{""service-record"":""239""},{""service-record"":""Service Games Won""},{""service-record"":""78%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""134""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""240""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Ruusuvuori,"Singles
                                Ranking


                            
                        
                        
86                        
                    
                        
                            
                                
                            
                            FIN","21                                        
                                            
                                                (1999.04.02)",2018,174,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""9,791""},{""service-record"":""Double Faults""},{""service-record"":""3,174""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""76%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""5,690""},{""service-record"":""Break Points Saved""},{""service-record"":""66%""},{""service-record"":""Service Games Played""},{""service-record"":""12,115""},{""service-record"":""Service Games Won""},{""service-record"":""84%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""44%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""5,311""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""12,155""},{""return-record"":""Return Games Won""},{""return-record"":""15%""},{""return-record"":""Return Points Won""},{""return-record"":""33%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Lopez,"Singles
                                Ranking


                            
                        
                        
65                        
                    
                        
                            
                                
                            
                            ESP","39                                        
                                            
                                                (1981.09.20)",1997,194,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""724""},{""service-record"":""Double Faults""},{""service-record"":""302""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""73%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""650""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""1,248""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""615""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""1,235""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Hurkacz,"Singles
                                Ranking


                            
                        
                        
30                        
                    
                        
                            
                                
                            
                            POL","24                                        
                                            
                                                (1997.02.11)",2015,179,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,091""},{""service-record"":""Double Faults""},{""service-record"":""526""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""66%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,690""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""4,102""},{""service-record"":""Service Games Won""},{""service-record"":""74%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,304""},{""return-record"":""Break Points Converted""},{""return-record"":""41%""},{""return-record"":""Return Games Played""},{""return-record"":""4,165""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Kukushkin,"Singles
                                Ranking


                            
                        
                        
90                        
                    
                        
                            
                                
                            
                            KAZ","33                                        
                                            
                                                (1987.12.26)",2006,159,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""682""},{""service-record"":""Double Faults""},{""service-record"":""865""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""66%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,338""},{""service-record"":""Break Points Saved""},{""service-record"":""56%""},{""service-record"":""Service Games Played""},{""service-record"":""3,675""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""33%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""55%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,706""},{""return-record"":""Break Points Converted""},{""return-record"":""44%""},{""return-record"":""Return Games Played""},{""return-record"":""3,721""},{""return-record"":""Return Games Won""},{""return-record"":""32%""},{""return-record"":""Return Points Won""},{""return-record"":""42%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Schwartzman,"Singles
                                Ranking


                            
                        
                        
9                        
                    
                        
                            
                                
                            
                            ARG","28                                        
                                            
                                                (1992.08.16)",2010,141,"5'7"""
