service-record,return-record,lastname,ranking,age,turnedpro,weight,height
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""127""},{""service-record"":""Double Faults""},{""service-record"":""228""},{""service-record"":""1st Serve""},{""service-record"":""68%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""65%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""47%""},{""service-record"":""Break Points Faced""},{""service-record"":""484""},{""service-record"":""Break Points Saved""},{""service-record"":""55%""},{""service-record"":""Service Games Played""},{""service-record"":""718""},{""service-record"":""Service Games Won""},{""service-record"":""70%""},{""service-record"":""Total Service Points Won""},{""service-record"":""59%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""414""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""737""},{""return-record"":""Return Games Won""},{""return-record"":""23%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""48%""}]",Moutet,"Singles
                                Ranking


                            
                        
                        
71                        
                    
                        
                            
                                
                            
                            FRA","21                                        
                                            
                                                (1999.04.19)",2016,156,"5'9"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""3,719""},{""service-record"":""Double Faults""},{""service-record"":""1,862""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,208""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""6,788""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""3,790""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""6,676""},{""return-record"":""Return Games Won""},{""return-record"":""22%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Dimitrov,"Singles
                                Ranking


                            
                        
                        
21                        
                    
                        
                            
                                
                            
                            BUL","29                                        
                                            
                                                (1991.05.16)",2008,179,"6'3"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""560""},{""service-record"":""Double Faults""},{""service-record"":""1,071""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""65%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,761""},{""service-record"":""Break Points Saved""},{""service-record"":""57%""},{""service-record"":""Service Games Played""},{""service-record"":""4,018""},{""service-record"":""Service Games Won""},{""service-record"":""70%""},{""service-record"":""Total Service Points Won""},{""service-record"":""59%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""31%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""52%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,545""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""4,065""},{""return-record"":""Return Games Won""},{""return-record"":""25%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Andujar,"Singles
                                Ranking


                            
                        
                        
59                        
                    
                        
                            
                                
                            
                            ESP","35                                        
                                            
                                                (1986.01.23)",2003,176,"5'11"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""6,507""},{""service-record"":""Double Faults""},{""service-record"":""1,580""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""78%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""3,339""},{""service-record"":""Break Points Saved""},{""service-record"":""67%""},{""service-record"":""Service Games Played""},{""service-record"":""8,525""},{""service-record"":""Service Games Won""},{""service-record"":""87%""},{""service-record"":""Total Service Points Won""},{""service-record"":""68%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""4,291""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""8,450""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]",Tsonga,"Singles
                                Ranking


                            
                        
                        
62                        
                    
                        
                            
                                
                            
                            FRA","35                                        
                                            
                                                (1985.04.17)",2004,205,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""241""},{""service-record"":""Double Faults""},{""service-record"":""229""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""63%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,071""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""1,562""},{""service-record"":""Service Games Won""},{""service-record"":""72%""},{""service-record"":""Total Service Points Won""},{""service-record"":""60%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""54%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""986""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""1,585""},{""return-record"":""Return Games Won""},{""return-record"":""24%""},{""return-record"":""Return Points Won""},{""return-record"":""38%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Nishioka,"Singles
                                Ranking


                            
                        
                        
58                        
                    
                        
                            
                                
                            
                            JPN","25                                        
                                            
                                                (1995.09.27)",2014,141,"5'7"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""216""},{""service-record"":""Double Faults""},{""service-record"":""168""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""71%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""46%""},{""service-record"":""Break Points Faced""},{""service-record"":""312""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""493""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""61%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""279""},{""return-record"":""Break Points Converted""},{""return-record"":""32%""},{""return-record"":""Return Games Played""},{""return-record"":""498""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Gombos,"Singles
                                Ranking


                            
                        
                        
89                        
                    
                        
                            
                                
                            
                            SVK","30                                        
                                            
                                                (1990.08.13)",2009,187,"6'4"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,786""},{""service-record"":""Double Faults""},{""service-record"":""487""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""75%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,187""},{""service-record"":""Break Points Saved""},{""service-record"":""62%""},{""service-record"":""Service Games Played""},{""service-record"":""2,466""},{""service-record"":""Service Games Won""},{""service-record"":""82%""},{""service-record"":""Total Service Points Won""},{""service-record"":""65%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,233""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""2,446""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Fritz,"Singles
                                Ranking


                            
                        
                        
31                        
                    
                        
                            
                                
                            
                            USA","23                                        
                                            
                                                (1997.10.28)",2015,190,"6'4"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,403""},{""service-record"":""Double Faults""},{""service-record"":""846""},{""service-record"":""1st Serve""},{""service-record"":""61%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""49%""},{""service-record"":""Break Points Faced""},{""service-record"":""2,805""},{""service-record"":""Break Points Saved""},{""service-record"":""58%""},{""service-record"":""Service Games Played""},{""service-record"":""4,721""},{""service-record"":""Service Games Won""},{""service-record"":""75%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""29%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,665""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""4,749""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Sousa,"Singles
                                Ranking


                            
                        
                        
93                        
                    
                        
                            
                                
                            
                            POR","31                                        
                                            
                                                (1989.03.30)",2008,163,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""3,560""},{""service-record"":""Double Faults""},{""service-record"":""853""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""77%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""53%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,140""},{""service-record"":""Break Points Saved""},{""service-record"":""66%""},{""service-record"":""Service Games Played""},{""service-record"":""3,213""},{""service-record"":""Service Games Won""},{""service-record"":""88%""},{""service-record"":""Total Service Points Won""},{""service-record"":""69%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""24%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""47%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,306""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""3,197""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""33%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Kyrgios,"Singles
                                Ranking


                            
                        
                        
47                        
                    
                        
                            
                                
                            
                            AUS","25                                        
                                            
                                                (1995.04.27)",2013,187,"6'4"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""426""},{""service-record"":""Double Faults""},{""service-record"":""150""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""74%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""254""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""611""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""25%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""280""},{""return-record"":""Break Points Converted""},{""return-record"":""35%""},{""return-record"":""Return Games Played""},{""return-record"":""604""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Gerasimov,"Singles
                                Ranking


                            
                        
                        
79                        
                    
                        
                            
                                
                            
                            BLR","28                                        
                                            
                                                (1992.11.11)",2010,190,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""118""},{""service-record"":""Double Faults""},{""service-record"":""60""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""70%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""166""},{""service-record"":""Break Points Saved""},{""service-record"":""69%""},{""service-record"":""Service Games Played""},{""service-record"":""244""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""117""},{""return-record"":""Break Points Converted""},{""return-record"":""39%""},{""return-record"":""Return Games Played""},{""return-record"":""246""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Mager,"Singles
                                Ranking


                            
                        
                        
96                        
                    
                        
                            
                                
                            
                            ITA","26                                        
                                            
                                                (1994.12.01)",2013,170,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""7,931""},{""service-record"":""Double Faults""},{""service-record"":""1,660""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""81%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""55%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,951""},{""service-record"":""Break Points Saved""},{""service-record"":""70%""},{""service-record"":""Service Games Played""},{""service-record"":""6,733""},{""service-record"":""Service Games Won""},{""service-record"":""91%""},{""service-record"":""Total Service Points Won""},{""service-record"":""72%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""2,934""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""6,650""},{""return-record"":""Return Games Won""},{""return-record"":""16%""},{""return-record"":""Return Points Won""},{""return-record"":""34%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]",Raonic,"Singles
                                Ranking


                            
                        
                        
14                        
                    
                        
                            
                                
                            
                            CAN","30                                        
                                            
                                                (1990.12.27)",2008,216,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,270""},{""service-record"":""Double Faults""},{""service-record"":""672""},{""service-record"":""1st Serve""},{""service-record"":""60%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""73%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""50%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,366""},{""service-record"":""Break Points Saved""},{""service-record"":""61%""},{""service-record"":""Service Games Played""},{""service-record"":""2,580""},{""service-record"":""Service Games Won""},{""service-record"":""80%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""30%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""53%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,623""},{""return-record"":""Break Points Converted""},{""return-record"":""40%""},{""return-record"":""Return Games Played""},{""return-record"":""2,600""},{""return-record"":""Return Games Won""},{""return-record"":""25%""},{""return-record"":""Return Points Won""},{""return-record"":""39%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Rublev,"Singles
                                Ranking


                            
                        
                        
8                        
                    
                        
                            
                                
                            
                            RUS","23                                        
                                            
                                                (1997.10.20)",2014,165,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""3,604""},{""service-record"":""Double Faults""},{""service-record"":""1,878""},{""service-record"":""1st Serve""},{""service-record"":""68%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""57%""},{""service-record"":""Break Points Faced""},{""service-record"":""5,926""},{""service-record"":""Break Points Saved""},{""service-record"":""67%""},{""service-record"":""Service Games Played""},{""service-record"":""13,943""},{""service-record"":""Service Games Won""},{""service-record"":""86%""},{""service-record"":""Total Service Points Won""},{""service-record"":""67%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""34%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""55%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""10,299""},{""return-record"":""Break Points Converted""},{""return-record"":""45%""},{""return-record"":""Return Games Played""},{""return-record"":""13,824""},{""return-record"":""Return Games Won""},{""return-record"":""34%""},{""return-record"":""Return Points Won""},{""return-record"":""42%""},{""return-record"":""Total Points Won""},{""return-record"":""55%""}]",Nadal,"Singles
                                Ranking


                            
                        
                        
2                        
                    
                        
                            
                                
                            
                            ESP","34                                        
                                            
                                                (1986.06.03)",2001,187,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,440""},{""service-record"":""Double Faults""},{""service-record"":""892""},{""service-record"":""1st Serve""},{""service-record"":""59%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""76%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,085""},{""service-record"":""Break Points Saved""},{""service-record"":""64%""},{""service-record"":""Service Games Played""},{""service-record"":""2,288""},{""service-record"":""Service Games Won""},{""service-record"":""83%""},{""service-record"":""Total Service Points Won""},{""service-record"":""66%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,172""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""2,279""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""51%""}]",Shapovalov,"Singles
                                Ranking


                            
                        
                        
12                        
                    
                        
                            
                                
                            
                            CAN","21                                        
                                            
                                                (1999.04.15)",2017,165,"6'1"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,100""},{""service-record"":""Double Faults""},{""service-record"":""428""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""71%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,137""},{""service-record"":""Break Points Saved""},{""service-record"":""60%""},{""service-record"":""Service Games Played""},{""service-record"":""2,183""},{""service-record"":""Service Games Won""},{""service-record"":""79%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""26%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""49%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,066""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""2,191""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Tiafoe,"Singles
                                Ranking


                            
                        
                        
64                        
                    
                        
                            
                                
                            
                            USA","23                                        
                                            
                                                (1998.01.20)",2015,190,"6'2"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,793""},{""service-record"":""Double Faults""},{""service-record"":""873""},{""service-record"":""1st Serve""},{""service-record"":""64%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""72%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""51%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,583""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""3,058""},{""service-record"":""Service Games Won""},{""service-record"":""81%""},{""service-record"":""Total Service Points Won""},{""service-record"":""64%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""27%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,527""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""3,066""},{""return-record"":""Return Games Won""},{""return-record"":""19%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Vesely,"Singles
                                Ranking


                            
                        
                        
68                        
                    
                        
                            
                                
                            
                            CZE","27                                        
                                            
                                                (1993.07.10)",2009,207,"6'6"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""895""},{""service-record"":""Double Faults""},{""service-record"":""514""},{""service-record"":""1st Serve""},{""service-record"":""58%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""75%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""44%""},{""service-record"":""Break Points Faced""},{""service-record"":""550""},{""service-record"":""Break Points Saved""},{""service-record"":""59%""},{""service-record"":""Service Games Played""},{""service-record"":""981""},{""service-record"":""Service Games Won""},{""service-record"":""77%""},{""service-record"":""Total Service Points Won""},{""service-record"":""62%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""46%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""482""},{""return-record"":""Break Points Converted""},{""return-record"":""36%""},{""return-record"":""Return Games Played""},{""return-record"":""979""},{""return-record"":""Return Games Won""},{""return-record"":""18%""},{""return-record"":""Return Points Won""},{""return-record"":""35%""},{""return-record"":""Total Points Won""},{""return-record"":""49%""}]",Bublik,"Singles
                                Ranking


                            
                        
                        
45                        
                    
                        
                            
                                
                            
                            KAZ","23                                        
                                            
                                                (1997.06.17)",2016,180,"6'5"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,139""},{""service-record"":""Double Faults""},{""service-record"":""538""},{""service-record"":""1st Serve""},{""service-record"":""65%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""69%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""52%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,712""},{""service-record"":""Break Points Saved""},{""service-record"":""63%""},{""service-record"":""Service Games Played""},{""service-record"":""2,907""},{""service-record"":""Service Games Won""},{""service-record"":""78%""},{""service-record"":""Total Service Points Won""},{""service-record"":""63%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""51%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,635""},{""return-record"":""Break Points Converted""},{""return-record"":""37%""},{""return-record"":""Return Games Played""},{""return-record"":""2,904""},{""return-record"":""Return Games Won""},{""return-record"":""21%""},{""return-record"":""Return Points Won""},{""return-record"":""37%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Pella,"Singles
                                Ranking


                            
                        
                        
44                        
                    
                        
                            
                                
                            
                            ARG","30                                        
                                            
                                                (1990.05.17)",2007,174,"6'0"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,466""},{""service-record"":""Double Faults""},{""service-record"":""478""},{""service-record"":""1st Serve""},{""service-record"":""62%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""76%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""54%""},{""service-record"":""Break Points Faced""},{""service-record"":""1,083""},{""service-record"":""Break Points Saved""},{""service-record"":""64%""},{""service-record"":""Service Games Played""},{""service-record"":""2,700""},{""service-record"":""Service Games Won""},{""service-record"":""86%""},{""service-record"":""Total Service Points Won""},{""service-record"":""68%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""28%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""48%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""1,356""},{""return-record"":""Break Points Converted""},{""return-record"":""38%""},{""return-record"":""Return Games Played""},{""return-record"":""2,647""},{""return-record"":""Return Games Won""},{""return-record"":""20%""},{""return-record"":""Return Points Won""},{""return-record"":""36%""},{""return-record"":""Total Points Won""},{""return-record"":""52%""}]",Tsitsipas,"Singles
                                Ranking


                            
                        
                        
6                        
                    
                        
                            
                                
                            
                            GRE","22                                        
                                            
                                                (1998.08.12)",2016,196,"6'4"""
"[{""service-record"":""Singles Service Record""},{""service-record"":""Aces""},{""service-record"":""1,778""},{""service-record"":""Double Faults""},{""service-record"":""310""},{""service-record"":""1st Serve""},{""service-record"":""63%""},{""service-record"":""1st Serve Points Won""},{""service-record"":""80%""},{""service-record"":""2nd Serve Points Won""},{""service-record"":""55%""},{""service-record"":""Break Points Faced""},{""service-record"":""379""},{""service-record"":""Break Points Saved""},{""service-record"":""68%""},{""service-record"":""Service Games Played""},{""service-record"":""1,270""},{""service-record"":""Service Games Won""},{""service-record"":""90%""},{""service-record"":""Total Service Points Won""},{""service-record"":""71%""}]","[{""return-record"":""Singles Return Record""},{""return-record"":""1st Serve Return Points Won""},{""return-record"":""20%""},{""return-record"":""2nd Serve Return Points Won""},{""return-record"":""41%""},{""return-record"":""Break Points Opportunities""},{""return-record"":""418""},{""return-record"":""Break Points Converted""},{""return-record"":""29%""},{""return-record"":""Return Games Played""},{""return-record"":""1,256""},{""return-record"":""Return Games Won""},{""return-record"":""10%""},{""return-record"":""Return Points Won""},{""return-record"":""28%""},{""return-record"":""Total Points Won""},{""return-record"":""50%""}]",Opelka,"Singles
                                Ranking


                            
                        
                        
38                        
                    
                        
                            
                                
                            
                            USA","23                                        
                                            
                                                (1997.08.28)",2015,225,"6'11"""
