,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won
90,"6,211","2,692",62%,73%,50%,"4,746",62%,"9,466",81%,64%
91,"2,371","1,126",60%,72%,52%,"2,624",61%,"4,896",79%,64%
92,47,38,69%,62%,46%,198,59%,236,66%,57%
93,459,228,65%,71%,51%,667,61%,"1,236",79%,64%
94,139,102,62%,69%,51%,242,61%,416,77%,62%
95,435,488,64%,65%,50%,"1,315",57%,"2,036",72%,60%
96,"5,882","2,486",65%,74%,55%,"5,574",65%,"13,544",86%,67%
97,335,368,62%,67%,49%,892,59%,"1,372",73%,60%
98,"6,844","2,237",57%,77%,53%,"4,385",64%,"9,711",84%,66%
99,628,433,61%,71%,51%,"1,025",61%,"1,772",77%,63%
